id,class,tree,tier,type,steps,effect,visual,state
"necro_blip","necromancer","necro_dark_matter","1","active","bolt","projectile","entity: projectile","visual"
"necro_blight","necromancer","necro_dark_matter","2","passive","(none)","passive","nothing","passive"
"necro_rift","necromancer","necro_dark_matter","3","active","bolt","projectile","entity: projectile","visual"
"necro_hex","necromancer","necro_dark_matter","4","active","bolt","projectile","entity: projectile","visual"
"necro_burr","necromancer","necro_dark_matter","5","active","bolt","projectile","entity: projectile","visual"
"necro_collapse","necromancer","necro_dark_matter","6","active","plague","damage-over-time","nothing","numbers-only"
"necro_taint","necromancer","necro_dark_matter","7","active","bolt","projectile","entity: projectile","visual"
"necro_abyssal","necromancer","necro_dark_matter","8","active","cone","melee arc","shape: melee arc","visual"
"necro_beam","necromancer","necro_dark_matter","9","active","line","beam","shape: beam flash","visual"
"necro_bomb","necromancer","necro_dark_matter","10","active","bolt","projectile","entity: projectile","visual"
"wiz_cinder_bolt","wizard","wizard_attunement","1","active","bolt","projectile","entity: projectile","visual"
"wiz_attune_physical","wizard","wizard_attunement","2","active","shift","movement","nothing","invisible"
"wiz_refracted_lance","wizard","wizard_attunement","3","active","line","beam","shape: beam flash","visual"
"wiz_attune_mental","wizard","wizard_attunement","4","active","shift","movement","nothing","invisible"
"wiz_prism_ward","wizard","wizard_attunement","5","active","ward","buff (absorb)","nothing","invisible"
"wiz_spectral_cascade","wizard","wizard_attunement","6","active","cone","melee arc","shape: melee arc","visual"
"wiz_attune_spiritual","wizard","wizard_attunement","7","active","shift","movement","nothing","invisible"
"wiz_sympathetic_resonance","wizard","wizard_attunement","8","passive","(none)","passive","nothing","passive"
"wiz_unmaking_beam","wizard","wizard_attunement","9","active","line","beam","shape: beam flash","visual"
"wiz_third_reading","wizard","wizard_attunement","10","active","cone","melee arc","shape: melee arc","visual"
"wiz_scorch","wizard","wizard_arcana","1","active","bolt","projectile","entity: projectile","visual"
"wiz_frost_nail","wizard","wizard_arcana","2","active","bolt","projectile","entity: projectile","visual"
"wiz_mind_spike","wizard","wizard_arcana","4","active","bolt","projectile","entity: projectile","visual"
"wiz_kindled_ground","wizard","wizard_arcana","4","active","hazard","zone","entity: ground zone","visual"
"wiz_arcane_recovery","wizard","wizard_arcana","6","active","heal","buff (heal)","damage number only","numbers-only"
"wiz_shatterpoint","wizard","wizard_arcana","6","active","strike","melee arc","shape: melee arc","visual"
"wiz_ley_surge","wizard","wizard_arcana","10","active","cone","melee arc","shape: melee arc","visual"
"wiz_null_field","wizard","wizard_arcana","8","active","shield","buff (absorb)","nothing","invisible"
"wiz_starfall","wizard","wizard_arcana","8","active","bolt","projectile","entity: projectile","visual"
"wiz_long_equation","wizard","wizard_arcana","10","active","line","beam","shape: beam flash","visual"
"pri_rebuke","priest","priest_judgment","1","active","strike","melee arc","shape: melee arc","visual"
"pri_judgment","priest","priest_judgment","2","active","bolt","projectile","entity: projectile","visual"
"pri_censure","priest","priest_judgment","4","active","cone","melee arc","shape: melee arc","visual"
"pri_weight_of_sin","priest","priest_judgment","4","active","strike","melee arc","shape: melee arc","visual"
"pri_attend_the_fallen","priest","priest_judgment","6","passive","(none)","passive","nothing","passive"
"pri_sentence","priest","priest_judgment","8","active","bolt","projectile","entity: projectile","visual"
"pri_chorus","priest","priest_judgment","6","active","cone","melee arc","shape: melee arc","visual"
"pri_reliquary_ward","priest","priest_judgment","8","active","ward","buff (absorb)","nothing","invisible"
"pri_long_ledger","priest","priest_judgment","10","active","line","beam","shape: beam flash","visual"
"pri_day_of_accounts","priest","priest_judgment","10","active","cone","melee arc","shape: melee arc","visual"
"pri_consecrate","priest","priest_grace","1","active","cone","melee arc","shape: melee arc","visual"
"pri_intercession","priest","priest_grace","2","active","heal","buff (heal)","damage number only","numbers-only"
"pri_warding_hand","priest","priest_grace","3","active","shield","buff (absorb)","nothing","invisible"
"pri_smite","priest","priest_grace","4","active","bolt","projectile","entity: projectile","visual"
"pri_litany","priest","priest_grace","5","active","drain","single-target damage","nothing","numbers-only"
"pri_hallowed_ground","priest","priest_grace","6","active","hazard","zone","entity: ground zone","visual"
"pri_staff_of_office","priest","priest_grace","7","active","strike","melee arc","shape: melee arc","visual"
"pri_vigil","priest","priest_grace","8","active","ward","buff (absorb)","nothing","invisible"
"pri_procession","priest","priest_grace","9","active","line","beam","shape: beam flash","visual"
"pri_benediction","priest","priest_grace","10","active","cone","melee arc","shape: melee arc","visual"
"pri_indictment","priest","priest_reckoning","1","active","bolt","projectile","entity: projectile","visual"
"pri_alone","priest","priest_reckoning","2","passive","(none)","passive","nothing","passive"
